Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2lWc1iJlz2NVcStV5fbtPG,"2CpLIMBoE2ZzyY3ZBCRZ7j,34qyuX5yO72yzL8Z4JclBc",Clouds,Clouds,"BUNT.,Nate Traveller",13-01-2023,158760,74,spotify:user:1nv6u01jz04gdpyeu05zf5uyd,2023-02-10T21:35:52Z,"chill r&b,indie r&b",0.7,0.748,9,-8.16,0,0.0771,0.226,0.796,0.104,0.154,130.056,4
7gLKUPLGMzPhw90Ara5ZEc,"1Cs0zKBU1kc0i8ypK3B9ai,64M6ah0SkkRsnPGtGiRAbb,2o5jDhtHVPhrJdv3cEQ99Z",I'm Good (Blue) - Tiësto Remix,I'm Good (Blue) [Remixes],"David Guetta,Bebe Rexha,Tiësto",29-09-2022,178124,61,spotify:user:1nv6u01jz04gdpyeu05zf5uyd,2022-12-30T15:02:34Z,"big room,dance pop,edm,pop,pop dance,post-teen pop,brostep,dutch edm,house,slap house,trance",0.6,0.96,7,-2.396,0,0.0597,0.000707,0.0475,0.381,0.153,128.068,4
6JMBtm91R1J5dt6XXiHO08,"4Jn2BlQGUmQN1Ex9rGn0iS,44UhiCipWUDB9sGEYzcrO8",Stop The Reign (feat. ATOM),Stop The Reign (feat. ATOM),"Daniel Pinho (US),ATOM",17-02-2023,202622,36,spotify:user:1nv6u01jz04gdpyeu05zf5uyd,2023-02-24T07:59:34Z,,0.736,0.742,0,-7.993,1,0.0386,0.141,0.409,0.12,0.163,122.019,4
6RoOC2uz8h7hZVe3hNeuA9,6ouIO1QdVHSGF1C1Dq00iJ,Rush,Rush,Dixie,10-03-2023,148846,8,spotify:user:1nv6u01jz04gdpyeu05zf5uyd,2023-03-11T03:38:18Z,,0.679,0.959,9,-3.648,0,0.251,0.00801,0.0327,0.334,0.454,133.963,4
4zN21mbAuaD0WqtmaTZZeP,"43BxCL6t4c73BQnIJtry5v,45ruzGUmIr8WLjLOPJ9mGU",Ferrari,Ferrari,"James Hype,Miggy Dela Rosa",01-04-2022,186661,83,spotify:user:1nv6u01jz04gdpyeu05zf5uyd,2022-09-05T12:46:03Z,"dance pop,deep groove house,house,pop dance,uk dance",0.847,0.69,1,-7.877,0,0.0493,0.0127,0.00006,0.0526,0.692,125.004,4
7hB3kf6BMhpaZJDBM61Sfw,"3YvNtTSaJ2YAt1RhaE9eiH,3GT47qKD0FuugTZtE9pdVe,59E09Es8P8Kj2ANWsqS6h3",Let You Down,Let You Down,"Panuma,Kleak & Veebu,Marigo Bay",01-05-2020,177049,21,spotify:user:1nv6u01jz04gdpyeu05zf5uyd,2022-09-05T12:46:03Z,pop edm,0.767,0.708,11,-6.912,1,0.0423,0.0376,0,0.12,0.379,122.012,4
5eKBBXIo3IZUAyqmopbxY8,5sDKcynpYYB2jXx8NEXQN3,Dark Lights,Dark Lights,Odious Love,17-02-2023,181500,17,spotify:user:1nv6u01jz04gdpyeu05zf5uyd,2023-03-03T07:27:30Z,,0.637,0.816,4,-8.45,1,0.0485,0.0192,0.0968,0.211,0.119,125.969,4
0DFqDcTdDgr8OVMuhTbWED,37SJYTTMo0trMRVJqKiUoO,For The Ride,For The Ride,Carda,10-02-2023,141686,36,spotify:user:1nv6u01jz04gdpyeu05zf5uyd,2023-02-24T08:03:06Z,pop edm,0.699,0.764,1,-5.318,1,0.0539,0.0644,0.00341,0.0655,0.848,105.03,4
1JBULRRzLiiiCWoaAHfxwV,"2ECb9wVfWlrUdjGlpk1P2H,53sI1Wc0pt61N26FY7bpq9",First Time,First Time,"Raddix,Adrian Rich",03-03-2023,229177,9,spotify:user:1nv6u01jz04gdpyeu05zf5uyd,2023-03-10T07:05:47Z,,0.585,0.716,11,-7.178,1,0.0728,0.13,0,0.106,0.235,151.926,4
1O3RcayIzF1Ng6H9XMGwNq,"5GImm0oU5MkW7OHkb91jwu,77ZyDi3WOcyp4Yxa9HFV62",Friend Like Me - Electro Swing Mix,Friend Like Me (Electro Swing Mix),"Wolfgang Lohr,Ashley Slater",24-02-2023,178992,41,spotify:user:1nv6u01jz04gdpyeu05zf5uyd,2023-02-24T09:12:28Z,"electro swing,nu jazz",0.731,0.878,2,-6.284,1,0.154,0.2,0.00288,0.0745,0.843,123.098,4
